"tourney_id","tourney_year","tourney_order","tourney_name","tourney_slug","tourney_location","tourney_dates","tourney_month","tourney_day","tourney_singles_draw","tourney_doubles_draw","tourney_conditions","tourney_surface","tourney_fin_commit","tourney_url_suffix","singles_winner_name","singles_winner_url","singles_winner_player_slug","singles_winner_player_id","doubles_winner_1_name","doubles_winner_1_url","doubles_winner_1_player_slug","doubles_winner_1_player_id","doubles_winner_2_name","doubles_winner_2_url","doubles_winner_2_player_slug","doubles_winner_2_player_id","tourney_year_id","tourney_lat","tourney_long"
520,2017,33,"Roland Garros","roland-garros","Paris, France","2017.05.28",5,28,128,128,"Outdoor","Clay","€16,790,000","/en/scores/archive/roland-garros/520/2017/results","Rafael Nadal","/en/players/rafael-nadal/n409/overview","rafael-nadal","n409","Ryan Harrison","/en/players/ryan-harrison/h940/overview","ryan-harrison","h940","Michael Venus","/en/players/michael-venus/v576/overview","michael-venus","v576","2017-520",48.856614,2.3522219
533,2017,18,"Brasil Open","sao-paulo","Sao Paulo, Brazil","2017.02.27",2,27,28,28,"Outdoor","Clay","$520,285","/en/scores/archive/sao-paulo/533/2017/results","Pablo Cuevas","/en/players/pablo-cuevas/c882/overview","pablo-cuevas","c882","Andre Sa","/en/players/andre-sa/s604/overview","andre-sa","s604","Rogerio Dutra Silva","/en/players/rogerio-dutra-silva/sc73/overview","rogerio-dutra-silva","sc73","2017-533",-23.5505199,-46.6333094
540,2017,40,"Wimbledon","wimbledon","London, Great Britain","2017.07.03",7,3,128,128,"Outdoor","Grass","£14,840,000","/en/scores/archive/wimbledon/540/2017/results","Roger Federer","/en/players/roger-federer/f324/overview","roger-federer","f324","Lukasz Kubot","/en/players/lukasz-kubot/k540/overview","lukasz-kubot","k540","Marcelo Melo","/en/players/marcelo-melo/m919/overview","marcelo-melo","m919","2017-540",51.5073509,-0.1277583
560,2017,53,"US Open","us-open","New York, United States","2017.08.28",8,28,128,128,"Outdoor","Hard-Outdoor","$24,193,400","/en/scores/archive/us-open/560/2017/results","Rafael Nadal","/en/players/rafael-nadal/n409/overview","rafael-nadal","n409","Jean-Julien Rojer","/en/players/jean-julien-rojer/r513/overview","jean-julien-rojer","r513","Horia Tecau","/en/players/horia-tecau/t749/overview","horia-tecau","t749","2017-560",40.7127753,-74.0059728
568,2017,55,"St. Petersburg Open","st-petersburg","St. Petersburg, Russia","2017.09.18",9,18,28,28,"Indoor","Hard-Indoor","$1,064,715","/en/scores/archive/st-petersburg/568/2017/results","Damir Dzumhur","/en/players/damir-dzumhur/d923/overview","damir-dzumhur","d923","Roman Jebavy","/en/players/roman-jebavy/j321/overview","roman-jebavy","j321","Matwe Middelkoop","/en/players/matwe-middelkoop/mb88/overview","matwe-middelkoop","mb88","2017-568",59.9342802,30.3350986
580,2017,6,"Australian Open","australian-open","Melbourne, Australia","2017.01.16",1,16,128,128,"Outdoor","Hard-Outdoor","A$22,624,000","/en/scores/archive/australian-open/580/2017/results","Roger Federer","/en/players/roger-federer/f324/overview","roger-federer","f324","Henri Kontinen","/en/players/henri-kontinen/ka80/overview","henri-kontinen","ka80","John Peers","/en/players/john-peers/pc96/overview","john-peers","pc96","2017-580",-37.8136276,144.9630576
605,2017,67,"Nitto ATP Finals","nitto-atp-finals","London, Great Britain","2017.11.12",11,12,8,8,"Indoor","Hard-Indoor","$8,000,000","/en/scores/archive/nitto-atp-finals/605/2017/results","Grigor Dimitrov","/en/players/grigor-dimitrov/d875/overview","grigor-dimitrov","d875","Henri Kontinen","/en/players/henri-kontinen/ka80/overview","henri-kontinen","ka80","John Peers","/en/players/john-peers/pc96/overview","john-peers","pc96","2017-605",51.5073509,-0.1277583
717,2017,21,"Fayez Sarofim & Co. US Men’s Clay Court Championship","houston","Houston, United States","2017.04.10",4,10,28,28,"Outdoor","Clay","$600,345","/en/scores/archive/houston/717/2017/results","Steve Johnson","/en/players/steve-johnson/j386/overview","steve-johnson","j386","Julio Peralta","/en/players/julio-peralta/p519/overview","julio-peralta","p519","Horacio Zeballos","/en/players/horacio-zeballos/z184/overview","horacio-zeballos","z184","2017-717",29.7604267,-95.3698028
741,2017,39,"Aegon International","eastbourne","Eastbourne, Great Britain","2017.06.26",6,26,28,28,"Outdoor","Grass","€693,910","/en/scores/archive/eastbourne/741/2017/results","Novak Djokovic","/en/players/novak-djokovic/d643/overview","novak-djokovic","d643","Bob Bryan","/en/players/bob-bryan/b588/overview","bob-bryan","b588","Mike Bryan","/en/players/mike-bryan/b589/overview","mike-bryan","b589","2017-741",50.768035,0.290472
747,2017,58,"China Open","beijing","Beijing, China","2017.10.02",10,2,32,32,"Outdoor","Hard-Outdoor","$4,280,460","/en/scores/archive/beijing/747/2017/results","Rafael Nadal","/en/players/rafael-nadal/n409/overview","rafael-nadal","n409","Henri Kontinen","/en/players/henri-kontinen/ka80/overview","henri-kontinen","ka80","John Peers","/en/players/john-peers/pc96/overview","john-peers","pc96","2017-747",39.9041999,116.4073963
807,2017,16,"Abierto Mexicano Telcel","acapulco","Acapulco, Mexico","2017.02.27",2,27,32,32,"Outdoor","Hard-Outdoor","$1,633,690","/en/scores/archive/acapulco/807/2017/results","Sam Querrey","/en/players/sam-querrey/q927/overview","sam-querrey","q927","Jamie Murray","/en/players/jamie-murray/mc81/overview","jamie-murray","mc81","Bruno Soares","/en/players/bruno-soares/s938/overview","bruno-soares","s938","2017-807",16.8531086,-99.8236533
891,2017,2,"Aircel Chennai Open","chennai","Chennai, India","2017.01.02",1,2,28,28,"Outdoor","Hard-Outdoor","$505,730","/en/scores/archive/chennai/891/2017/results","Roberto Bautista Agut","/en/players/roberto-bautista-agut/bd06/overview","roberto-bautista-agut","bd06","Rohan Bopanna","/en/players/rohan-bopanna/b757/overview","rohan-bopanna","b757","Jeevan Nedunchezhiyan","/en/players/jeevan-nedunchezhiyan/n480/overview","jeevan-nedunchezhiyan","n480","2017-891",13.0826802,80.2707184
1536,2017,29,"Mutua Madrid Open","madrid","Madrid, Spain","2017.05.07",5,7,56,56,"Outdoor","Clay","€6,408,230","/en/scores/archive/madrid/1536/2017/results","Rafael Nadal","/en/players/rafael-nadal/n409/overview","rafael-nadal","n409","Lukasz Kubot","/en/players/lukasz-kubot/k540/overview","lukasz-kubot","k540","Marcelo Melo","/en/players/marcelo-melo/m919/overview","marcelo-melo","m919","2017-1536",40.4167754,-3.7037902
5014,2017,60,"Shanghai Rolex Masters","shanghai","Shanghai, China","2017.10.08",10,8,56,56,"Outdoor","Hard-Outdoor","$8,092,625","/en/scores/archive/shanghai/5014/2017/results","Roger Federer","/en/players/roger-federer/f324/overview","roger-federer","f324","Henri Kontinen","/en/players/henri-kontinen/ka80/overview","henri-kontinen","ka80","John Peers","/en/players/john-peers/pc96/overview","john-peers","pc96","2017-5014",31.2303904,121.4737021
6116,2017,44,"BB&T Atlanta Open","atlanta","Atlanta, United States","2017.07.24",7,24,28,28,"Outdoor","Hard-Outdoor","$720,410","/en/scores/archive/atlanta/6116/2017/results","John Isner","/en/players/john-isner/i186/overview","john-isner","i186","Bob Bryan","/en/players/bob-bryan/b588/overview","bob-bryan","b588","Mike Bryan","/en/players/mike-bryan/b589/overview","mike-bryan","b589","2017-6116",33.7489954,-84.3879824
